Date,Open,High,Low,Close,Volume,short_sma,long_sma,rsi,entry_price,stop_price,exit_reason,signal,position_change,market_return,strategy_return,market_equity,strategy_equity
2024-03-07,69898.6240369633,70089.86514239959,69038.0390625,69038.0390625,14516963.0,,,43.24329098774238,,,,0,0.0,-0.00960219309625221,-0.0,0.9070352573741713,1.0
2024-03-08,69611.76440995907,70185.48774300818,69420.5232989427,70089.8671875,19271349.0,,,53.08644963980157,,,,0,0.0,0.01523548668651764,0.0,0.9208543809620976,1.0
2024-03-11,69707.39188751727,69898.63301752417,69133.66849749655,69229.2890625,9740504.0,,,41.25001531931582,,,,0,0.0,-0.012278210239688891,-0.0,0.9095479372725064,1.0
2024-03-12,69420.5232989427,70281.10829851637,68942.42052140177,70089.8671875,13011654.0,,,50.0,,,,0,0.0,0.012430838690587587,0.0,0.9208543809620976,1.0
2024-03-13,70472.34592189609,70854.828125,70281.10482034413,70854.828125,15243134.0,,,56.17979487895067,,,,0,0.0,0.010914001812182494,0.0,0.9309045873446741,1.0
2024-03-14,71141.69086473755,71237.3114169751,70376.72644683714,71046.0703125,22545539.0,70745.82203125,,56.66666969271398,,,,0,0.0,0.0026990706570146905,0.0,0.9334171646008564,1.0
2024-03-15,70185.49021006224,70472.35188667012,69133.6640625,69133.6640625,22580555.0,70606.21625,,47.22223903360124,,,,0,0.0,-0.02691783291585559,-0.0,0.9082915973233389,1.0
2024-03-18,69420.51671960852,69802.99890539149,69324.89617316278,69611.7578125,11520348.0,70525.895,,50.0,,,,0,0.0,0.006915498498210493,0.0,0.9145728865005657,1.0
2024-03-19,69133.65508027129,69802.99890539149,68559.93180159685,69611.7578125,15376066.0,70453.223125,,49.549527003353525,,,,0,0.0,0.0,0.0,0.9145728865005657,1.0
2024-03-20,70472.34551771781,73819.06477568271,70185.4838670351,73532.203125,50106297.0,70458.96015625,,62.41613755989978,,,,0,0.0,0.05631872309645969,0.0,0.9660804636469209,1.0
2024-03-21,75731.48100567465,75827.1015625,74297.17265329444,75827.1015625,44569799.0,70512.5078125,,67.25149048849033,,,,0,0.0,0.031209433961863153,0.0,0.9962312880789557,1.0
2024-03-22,76113.96894803549,76400.8306400507,74392.79879594424,75444.625,26724761.0,70592.829375,,62.50007021378182,,,,0,0.0,-0.005044061484860363,-0.0,0.9912062362087438,1.0
2024-03-25,76113.96119725064,76305.20230578644,74392.7912204284,74775.2734375,18703996.0,70680.8003125,,64.51613243301654,,,,0,0.0,-0.008872090788442533,-0.0,0.9824121644910294,1.0
2024-03-26,76209.57921034105,76592.06141465895,75731.47645494368,76400.8203125,30551494.0,70808.931875,,71.34148771661326,,,,0,0.0,0.02173909636530702,0.0,1.0037689172053497,1.0
2024-03-27,75731.47203947368,76496.43640350878,75731.47203947368,76305.1953125,17424595.0,70937.06328125,,74.05063945707684,,,,0,0.0,-0.0012516226868882763,-0.0,1.0025125772561823,1.0
2024-03-28,76267.73663753094,77804.61798035272,76075.62646967822,77612.5078125,25084812.0,71076.0415625,,74.48215892968832,,,,0,0.0,0.017132680083525642,0.0,1.0196883045220233,1.0
2024-03-29,77996.72959648058,79245.44571070996,77708.56433935073,79149.390625,27126366.0,71270.61890625,,80.92335627590903,,,,0,0.0,0.01980199913411984,0.0,1.0398801714452406,1.0
2024-04-01,79917.83292682926,80013.88801448171,78765.171875,78765.171875,20116513.0,71488.11046875,,77.87074392494841,,,,0,0.0,-0.004854348807565412,-0.0,1.0348322303749744,1.0
2024-04-02,79629.67119485294,81646.828125,79629.67119485294,81646.828125,37077944.0,71749.8484375,,80.52009226445608,,,,0,0.0,0.036585411818476965,0.0,1.0726919936862758,1.0
2024-04-03,80974.44612997919,81646.83180365636,80206.00536006242,80782.3359375,30493347.0,71936.92421875,,76.52441048919734,,,,0,0.0,-0.010588190715461465,-0.0,1.0613341262781768,1.0
2024-04-04,81838.93709701055,82127.1023684789,80974.4412826055,81934.9921875,25248934.0,72139.4034375,,86.38052245393848,,,,0,0.0,0.01426866698793905,0.0,1.0764779494889753,1.0
2024-04-05,81166.546875,81646.82230029585,80494.1612795858,81166.546875,18883752.0,72324.60109375,,82.30480880919711,,,,0,0.0,-0.009378719543189695,-0.0,1.0663819647062904,1.0
2024-04-08,81838.9324704142,82607.37315088758,81166.546875,81166.546875,18953232.0,72532.748125,,82.30480880919711,,,,0,0.0,0.0,0.0,1.0663819647062904,1.0
2024-04-09,81166.55049155203,81550.77084890849,79821.77924080442,80302.0546875,23725956.0,72721.69265625,,72.82784797188185,,,,0,0.0,-0.010650843491362916,-0.0,1.0550240972981917,1.0
2024-04-11,79917.84007134364,81358.66651493758,79245.45439766647,80782.3359375,25538009.0,72933.62953125,,69.03891410321063,,,,0,0.0,0.00598093351246165,0.0,1.061334126278177,1.0
2024-04-12,81358.66026359021,81550.77044130824,79917.8339307049,80398.109375,17061770.0,73118.7578125,,69.02963124810918,,,,0,0.0,-0.004756319039811774,-0.0,1.056286082565758,1.0
2024-04-15,79629.65897772202,79917.82420924574,77996.72266575426,78957.2734375,26663772.0,73276.981875,,65.16682212326896,,,,0,0.0,-0.01792126641659597,-0.0,1.0373560982679546,1.0
2024-04-16,77996.739296875,78092.79439453124,76267.7475390625,76844.078125,31949845.0,73423.54078125,,51.55264069600511,,,,0,0.0,-0.02676378274602831,-0.0,1.0095925250236435,1.0
2024-04-17,77516.46842324144,77612.52352661597,75787.4765625,75787.4765625,22611631.0,73531.75578125,,48.30092332874216,,,,0,0.0,-0.01374994128735929,-0.0,0.9957106870804115,1.0
2024-04-18,75691.42631124372,76940.14273516017,75211.15076358354,76459.8671875,21370190.0,73622.81984375,,46.052701985394215,,,,0,0.0,0.008872054533251239,0.0,1.00454468659553,1.0
2024-04-19,75211.11986549613,75595.34014577964,73290.01846407862,74538.734375,31317563.0,73692.673125,,34.615376594342536,,,,0,0.0,-0.02512602863655089,-0.0,0.9793044680334357,1.0
2024-04-22,74346.62212549278,74442.67719283837,72137.35557654403,73097.90625,30469477.0,73731.79734375,,32.3353194258157,,,,0,0.0,-0.01932992473082895,-0.0,0.960374586377785,1.0
2024-04-23,73386.09747516556,73770.3178807947,72521.6015625,72521.6015625,18717699.0,73747.92109375,,16.783254170617212,,,,0,0.0,-0.007884010870694347,-0.0,0.9528029826988439,1.0
2024-04-24,74442.6986422551,75691.41487754454,74154.5333571883,75499.3046875,22166150.0,73840.810625,,33.33333333333333,,,,0,0.0,0.04105953344720037,0.0,0.9919246286355593,1.0
2024-04-25,74250.5821182831,74442.69229193972,73290.03125,73290.03125,15549134.0,73868.47796875,,24.431832623128926,,,,0,0.0,-0.02926216932254444,-0.0,0.9628987621972236,1.0
2024-04-26,74730.85593220338,74826.91101694915,73482.13983050847,73674.25,12755629.0,73926.7790625,,27.325594041848916,,,,0,0.0,0.005242442163646999,0.0,0.9679467032674898,1.0
2024-04-29,74346.63559322033,74538.74576271186,73193.97457627118,73674.25,14664474.0,74000.37921875,,27.325594041848916,,,,0,0.0,0.0,0.0,0.9679467032674898,1.0
